11,11.8,4.5,0,0
3,8.2,6.7,0,0
10,18,0.9,0,0
10,14.6,1.3,0,0
3,8.3,4,0.2,0
3,11.4,1.8,0,0
8,22.2,5.4,0,0
8,24.1,3.1,0,0
8,8,2.2,0,0
9,13.1,5.4,0,0
9,22.8,4,0,0
9,17.8,7.2,0,0
9,19.3,4,0,0
8,17,6.7,0,0
9,21.3,2.2,0,0
9,26.4,4.5,0,0
9,22.9,5.4,0,0
3,15.1,5.4,0,0
10,16.7,4.9,0,0
3,15.9,4,0,0
4,9.3,4.5,0,0
9,18.3,2.7,0,0
9,19.1,2.7,0,0
6,21,4.5,0,0
8,19.5,5.8,0,0
8,23.7,5.8,0,0
8,16.3,5.4,0,0
9,19,5.8,0,0
9,19.4,1.3,0,0
9,30.2,2.7,0,0
9,22.8,3.6,0,0
9,25.4,3.6,0,0
9,11.2,7.6,0,0
9,20.6,1.8,0,0
9,17.7,3.6,0,0
9,21.2,2.7,0,0
9,18.2,4.5,0,0
10,21.7,4.5,0,0
10,11.3,5.4,0,0
10,17.8,4,0,0
3,14.1,2.7,0,0
7,23.3,3.1,0,0
8,18.4,6.7,0,0
8,16.6,5.4,0,0
9,19.6,2.7,0,0
9,12.9,4.9,0,0
9,25.9,4,0,0
9,14.7,3.6,0,0
7,23,3.1,0,0
3,11.8,1.8,0,0
3,11,5.8,0,0
9,20.8,1.3,0,0
8,21.5,2.2,0,0
8,20.4,4.9,0,0
8,20.4,4.9,0,0
8,17.6,3.6,0,0
9,27.7,2.2,0,0
9,17.8,4.9,0,0
10,13.8,2.7,0,0
2,13.9,5.4,0,0
2,12.3,0.9,0,0
3,11.5,5.8,0,0
3,5.5,6.3,0,0
8,18.8,4.9,0,0
8,20.8,2.7,0,0
8,23.1,3.1,0,0
8,18.6,4.5,0,0
9,23,4.5,0,0
9,19.6,5.4,0,0
9,19.6,6.3,0,0
3,17.2,4.5,0,0
3,15.8,7.6,0,0
9,17.7,3.6,0,0
3,15.6,6.3,0,0
8,17.3,4.5,0,0
9,27.6,1.3,0,0
2,6.7,3.1,0,0
2,15.7,3.1,0,0
3,8.3,3.1,0,0
8,14.7,2.7,0,0
8,21.6,6.7,0,0
8,19.5,6.3,0,0
8,17.9,2.2,0,0
8,18.6,4.5,0,0
8,16.6,0.9,0,0
8,20.2,3.6,0,0
9,21.5,0.9,0,0
9,25.4,2.2,0,0
9,22.4,2.2,0,0
9,25.3,3.6,0,0
3,17.4,4.9,0,0
8,14.7,5.8,0,0
3,17.4,5.4,0,0
8,20.8,6.3,0,0
8,18.2,4.9,0,0
8,23.4,2.7,0,0
9,17.8,1.3,0,0
2,12.7,1.8,0,0
3,17.4,5.4,0,0
8,11.6,4.5,0,0
8,19.8,5.4,0,0
8,19.8,5.4,0,0
8,14.4,5.4,0,0
8,20.1,4,0,0
9,24.1,4.5,0,0
1,5.3,3.1,0,0
3,12.7,6.3,0,0
3,18.2,3.1,0,0
8,21.4,3.1,0,0
9,20.3,3.1,0,0
9,17.4,5.4,0,0
3,13.7,5.8,0,0
3,18.8,4.5,0,0
9,22.8,3.6,0,0
9,18.9,2.7,0,0
3,15.8,7.6,0,0
3,15.5,6.3,0,0
